LAST SEEN   TYPE      REASON                   OBJECT                                MESSAGE
21h         Normal    Started                  pod/focusflow-api-68cd46f66c-2cnhc    Started container focusflow-api
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled down replica set focusflow-api-c876f9779 to 1 from 2
21h         Normal    SuccessfulDelete         replicaset/focusflow-api-c876f9779    Deleted pod: focusflow-api-c876f9779-2nfks
21h         Normal    Killing                  pod/focusflow-api-c876f9779-2nfks     Stopping container focusflow-api
21h         Normal    Started                  pod/focusflow-api-68cd46f66c-55ppw    Started container focusflow-api
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-68cd46f66c   Created pod: focusflow-api-68cd46f66c-55ppw
21h         Normal    Created                  pod/focusflow-api-68cd46f66c-55ppw    Created container focusflow-api
21h         Normal    Pulled                   pod/focusflow-api-68cd46f66c-55ppw    Container image "focusflow-api:1.0.0" already present on machine
21h         Normal    SuccessfulDelete         replicaset/focusflow-api-c876f9779    Deleted pod: focusflow-api-c876f9779-xczhx
21h         Normal    Killing                  pod/focusflow-api-c876f9779-xczhx     Stopping container focusflow-api
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled down replica set focusflow-api-c876f9779 to 0 from 1
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled up replica set focusflow-api-84855665b7 to 1
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-84855665b7   Created pod: focusflow-api-84855665b7-4gnxd
21h         Normal    Started                  pod/focusflow-api-84855665b7-4gnxd    Started container focusflow-api
21h         Normal    Created                  pod/focusflow-api-84855665b7-4gnxd    Created container focusflow-api
21h         Normal    Pulled                   pod/focusflow-api-84855665b7-4gnxd    Container image "focusflow-api:1.0.0" already present on machine
21h         Normal    Killing                  pod/focusflow-api-68cd46f66c-2cnhc    Stopping container focusflow-api
21h         Normal    SuccessfulDelete         replicaset/focusflow-api-68cd46f66c   Deleted pod: focusflow-api-68cd46f66c-2cnhc
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-84855665b7   Created pod: focusflow-api-84855665b7-6zq7v
21h         Normal    Created                  pod/focusflow-api-84855665b7-6zq7v    Created container focusflow-api
21h         Normal    Started                  pod/focusflow-api-84855665b7-6zq7v    Started container focusflow-api
21h         Normal    Pulled                   pod/focusflow-api-84855665b7-6zq7v    Container image "focusflow-api:1.0.0" already present on machine
21h         Normal    Killing                  pod/focusflow-api-68cd46f66c-55ppw    Stopping container focusflow-api
21h         Normal    SuccessfulDelete         replicaset/focusflow-api-68cd46f66c   Deleted pod: focusflow-api-68cd46f66c-55ppw
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled up replica set focusflow-api-68cd46f66c to 1 from 0
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-68cd46f66c   Created pod: focusflow-api-68cd46f66c-dxl44
21h         Normal    Created                  pod/focusflow-api-68cd46f66c-dxl44    Created container focusflow-api
21h         Normal    Started                  pod/focusflow-api-68cd46f66c-dxl44    Started container focusflow-api
21h         Normal    Pulled                   pod/focusflow-api-68cd46f66c-dxl44    Container image "focusflow-api:1.0.0" already present on machine
21h         Normal    Killing                  pod/focusflow-api-84855665b7-6zq7v    Stopping container focusflow-api
21h         Normal    SuccessfulDelete         replicaset/focusflow-api-84855665b7   Deleted pod: focusflow-api-84855665b7-6zq7v
21h         Normal    Started                  pod/focusflow-api-68cd46f66c-jzpps    Started container focusflow-api
21h         Normal    Created                  pod/focusflow-api-68cd46f66c-jzpps    Created container focusflow-api
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-68cd46f66c   Created pod: focusflow-api-68cd46f66c-jzpps
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled up replica set focusflow-api-68cd46f66c to 2 from 1
21h         Normal    Pulled                   pod/focusflow-api-68cd46f66c-jzpps    Container image "focusflow-api:1.0.0" already present on machine
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled down replica set focusflow-api-84855665b7 to 1 from 2
21h         Normal    Killing                  pod/focusflow-api-84855665b7-4gnxd    Stopping container focusflow-api
21h         Normal    SuccessfulDelete         replicaset/focusflow-api-84855665b7   Deleted pod: focusflow-api-84855665b7-4gnxd
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled down replica set focusflow-api-84855665b7 to 0 from 1
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-84855665b7   Created pod: focusflow-api-84855665b7-gm9jx
21h         Normal    Pulled                   pod/focusflow-api-84855665b7-gm9jx    Container image "focusflow-api:1.0.0" already present on machine
21h         Normal    Created                  pod/focusflow-api-84855665b7-gm9jx    Created container focusflow-api
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled up replica set focusflow-api-84855665b7 to 1 from 0
21h         Normal    Started                  pod/focusflow-api-84855665b7-gm9jx    Started container focusflow-api
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled down replica set focusflow-api-68cd46f66c to 1 from 2
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-84855665b7   Created pod: focusflow-api-84855665b7-ss8rb
21h         Normal    SuccessfulDelete         replicaset/focusflow-api-68cd46f66c   Deleted pod: focusflow-api-68cd46f66c-dxl44
21h         Normal    Killing                  pod/focusflow-api-68cd46f66c-dxl44    Stopping container focusflow-api
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled up replica set focusflow-api-84855665b7 to 2 from 1
21h         Normal    Pulled                   pod/focusflow-api-84855665b7-ss8rb    Container image "focusflow-api:1.0.0" already present on machine
